latitude,longitude,occurrenceDate
10.68515,-84.18112,2011-04-29T22:00:00.000+0000
10.4288,-84.0128,2011-05-01T22:00:00.000+0000
10.4288,-84.0128,2011-05-20T22:00:00.000+0000
10.4288,-84.0128,2011-05-02T22:00:00.000+0000
10.4288,-84.0128,2011-05-21T22:00:00.000+0000
,,2011-06-05T22:00:00.000+0000
10.4502,-84.0677,2011-07-20T22:00:00.000+0000
10.4502,-84.0677,2011-07-22T22:00:00.000+0000
10.68636,-84.20616,2011-07-25T22:00:00.000+0000
10.4502,-84.0677,2011-07-19T22:00:00.000+0000
10.53861,-83.5025,2011-08-01T22:00:00.000+0000
10.53861,-83.5025,2011-08-01T22:00:00.000+0000
11.00464,-84.37702,2011-10-24T22:00:00.000+0000
10.4288,-84.0128,2011-10-14T22:00:00.000+0000
10.46446,-84.09334,2011-10-12T22:00:00.000+0000
10.4288,-84.0128,2011-10-13T22:00:00.000+0000
10.4288,-84.0128,2011-10-19T22:00:00.000+0000
10.4288,-84.0128,2011-10-17T22:00:00.000+0000
10.46542,-84.07871,2011-10-15T22:00:00.000+0000
10.43587,-84.04466,2011-10-27T22:00:00.000+0000
10.4288,-84.0128,2011-10-10T22:00:00.000+0000
10.4288,-84.0128,2011-10-20T22:00:00.000+0000
10.4502,-84.0677,2011-11-20T23:00:00.000+0000
10.4288,-84.0128,2011-11-08T23:00:00.000+0000
10.4502,-84.0677,2011-11-27T23:00:00.000+0000
10.45485,-84.037,2011-11-26T23:00:00.000+0000
-2.18118,-80.02106,2011-11-13T23:00:00.000+0000
10.53861,-83.5025,2011-11-17T23:00:00.000+0000
10.43144,-84.00433,2011-11-24T23:00:00.000+0000
10.4288,-84.0128,2011-11-08T23:00:00.000+0000
10.68636,-84.20616,2011-11-16T23:00:00.000+0000
10.45724,-84.08071,2011-11-23T23:00:00.000+0000
10.74899,-84.1951,2011-11-24T23:00:00.000+0000
10.97431,-84.33826,2011-12-08T23:00:00.000+0000
10.4288,-84.0128,2011-12-23T23:00:00.000+0000
10.97431,-84.33826,2011-12-09T23:00:00.000+0000
10.53861,-83.5025,2011-12-27T23:00:00.000+0000
10.97431,-84.33826,2011-12-07T23:00:00.000+0000
10.4288,-84.0128,2011-12-22T23:00:00.000+0000
10.97431,-84.33826,2011-12-07T23:00:00.000+0000
10.31698,-84.03002,2011-12-26T23:00:00.000+0000
10.97431,-84.33826,2011-12-07T23:00:00.000+0000
10.96669,-84.332,2011-12-08T23:00:00.000+0000
10.97431,-84.33826,2011-12-07T23:00:00.000+0000
10.97431,-84.33826,2011-12-07T23:00:00.000+0000
